"name","value"
SHE,🐍
HOU,🐒
XIN,❤
XING,⭐
CHONG,🐛
SHOU,👋
QUAN,👊
YE,👴
ZUI,👄
GUI,👻
NAO,🧠
CHUANG,🛌
DAO,🔪
SAN,🌂
JING,👓
YAO,💊
YUE,🈷️
KE,🉑
JIN,🈲
DE,🉐
GE,🈹
HE,🈴
MEI,♣️
RI,🌞
HUO,🔥
DIAN,⚡
GU,🦴
SHANG,⬆️
XIA,⬇️
ZUO,⬅️
YOU,➡️
GOU,🐶
MAO,🐱
HU,🐯
ZHU,🐷
JI,🐔
LONG,🐲
SHU,🐭
YU,🐠
XIA,🦐
XIONG,🐻
LA,🌶️
BI,🍺
PI,🍺
CHE,🚌
YI,1⃣
ER,2⃣
SAN,3⃣
SI,4⃣
WU,🈚️
LIU,6⃣
QI,🚩
BA,8⃣
JIU,🍷
SHI,🔟
KONG,🈳
NAI,🍼
MI,㊙
YANG,🐑
NV,👩
NAN,🎃
JIAN,✂
SHUI.🚰
KAN,👀
DU,☠
YA,🦷
ZHONG,️🀄️
SUO,🔒
ZHI,🧻
SHAN,⛰
DUI,✅
A,🇦
BING,🥮
WA,🐸
FU,🦇
DIE,🦋
LUO,🐚
TU,🐰
NIU,🐮
FAN,🍚
LI,🍐
HEI,🧑🏿‍🦲
XUE,🌨️